"A billing customer, contact and address has to be set if the gift card is not paid yet.","Wenn die Geschenkkarte noch nicht bezahlt ist, muss ein Rechnungsempfänger, sein Kontakt und seine Adresse angegeben werden."
"A shipping customer, contact and address has to be set if the gift card has to be sent to the customer.","Wenn die Geschenkkarte an den Kunden versendet werden soll, muss ein empfangender Kunde, sein Kontakt und seine Adresse angegeben werden."
Allow partial redemption,Teileinlösung zulassen
Billing Address,Rechnungsadresse
Billing Contact,Rechnungskontakt
Billing Customer,Rechnungsempfänger
Create and manage gift cards.,Geschenkkarten erstellen und verwalten.
Create and manage gift card templates.,Geschenkkarten-Vorlagen erstellen und verwalten.
% Current value,Aktueller Wert (Prozent)
Customer Info,Kundeninformationen
Gift Card Template,Geschenkkarten-Vorlage
Gift Card Text,Geschenkkarten-Text
"Gift Card has been paid by the customer.","Die Geschenkkarte wurde vom Kunden bezahlt."
GiftCards,Geschenkkarten
Has received,Hat erhalten
Is stopped,Ist angehalten
Multi Purpose,Mehrzweck
Posting date,Ausstellungsdatum
Shipping Address,Empfängeradresse
Shipping Contact,Empfängerkontakt
Shipping Customer,Leistungsempfänger
Redeem,Einlösen
Redeemed Value,Eingelöster Wert
Redeem the full outstanding value of {0} for this gift card?,Den vollen ausstehenden Wert von {0} für diese Geschenkkarte einlösen?
"Redeem {0} for this gift card? The remaining value will be {1}.","Möchten Sie {0} dieser Geschenkkarte einlösen? Der Restwert wird {1} betragen."
Redeemed,Eingelöst
"redeemed {0}, new value is {1}","löste {0} ein, neuer Betrag ist {1}"
"The redemption value must be between {0} and {1}.","Der einzulösende Wert muss zwischen {0} und {1} liegen."
Redemption Date,Einlösungsdatum
Single Purpose,Einzweck
Target Value,Zielwert
Target value must be a positive number.,Der Zielwert muss eine positive Zahl sein.
The Gift Card has been received by or is sent to the customer.,Der Kunde hat die Geschenkkarte erhalten oder sie wurde an ihn versendet.
"The amount that should be redeemed.","Der Betrag, der eingelöst werden soll."
Unpaid & Unsent,Unbezahlt & Ungesendet
Unsent,Ungesendet
Update Status,Status aktualisieren
Valid To,Gültig bis
Valid from date has to be smaller than valid to date.,Das Gültig-ab-Datum muss kleiner als das Gültig-bis-Datum sein.
Valid to date has to be in the future.,Das Gültig-bis-Datum muss in der Zukunft liegen.
Validity (in years),Gültigkeit (in Jahren)
